'Price'; 'Minutes to metro'; 'Number of rooms'; 'Area'; 'Floor'
7300000.0; 0.0; 0.0; 28.0; 4.0
26970000.0; 0.0; 1.0; 41.0; 8.0
72240720.0; 0.0; 5.0; 144.8; 6.0
73543920.0; 0.0; 5.0; 144.8; 8.0
199000000.0; 0.0; 6.0; 320.0; 3.0
199000000.0; 0.0; 6.0; 320.0; 3.0
1475430000.0; 0.0; 5.0; 657.5; 1.0
5700000.0; 1.0; 0.0; 12.0; 1.0
8550000.0; 1.0; 1.0; 30.0; 9.0
14897280.0; 1.0; 6.0; 17.0; 10.0
14900000.0; 1.0; 2.0; 41.0; 11.0
15290000.0; 1.0; 3.0; 72.0; 1.0
17290000.0; 1.0; 6.0; 27.0; 10.0
17500000.0; 1.0; 2.0; 56.0; 1.0
18500000.0; 1.0; 1.0; 37.0; 22.0
18600000.0; 1.0; 0.0; 40.0; 6.0
18600000.0; 1.0; 0.0; 40.0; 6.0
23000000.0; 1.0; 3.0; 77.1; 5.0
25000000.0; 1.0; 0.0; 71.3; 9.0
25000000.0; 1.0; 0.0; 71.3; 9.0
25800000.0; 1.0; 2.0; 56.7; 39.0
26000000.0; 1.0; 4.0; 108.5; 5.0
26329387.0; 1.0; 2.0; 45.6; 7.0
26890000.0; 1.0; 1.0; 43.5; 11.0
28245000.0; 1.0; 6.0; 26.0; 2.0
28800000.0; 1.0; 2.0; 53.3; 10.0
34999999.0; 1.0; 3.0; 91.1; 6.0
36200000.0; 1.0; 5.0; 104.0; 5.0
37000000.0; 1.0; 4.0; 94.5; 3.0
39580686.0; 1.0; 3.0; 80.0; 2.0
40500000.0; 1.0; 2.0; 74.0; 2.0
41000000.0; 1.0; 3.0; 90.0; 8.0
41000000.0; 1.0; 3.0; 90.0; 8.0
48000000.0; 1.0; 0.0; 58.0; 77.0
49000000.0; 1.0; 5.0; 128.0; 6.0
49571000.0; 1.0; 1.0; 52.18; 2.0
50000000.0; 1.0; 4.0; 132.0; 4.0
52000000.0; 1.0; 5.0; 183.0; 5.0
54900000.0; 1.0; 4.0; 102.0; 8.0
57000000.0; 1.0; 2.0; 77.2; 2.0
58780000.0; 1.0; 2.0; 74.4; 14.0
59300887.0; 1.0; 2.0; 92.1; 43.0
62046000.0; 1.0; 2.0; 76.6; 4.0
64900000.0; 1.0; 4.0; 145.0; 4.0
65000000.0; 1.0; 2.0; 110.0; 49.0
65000000.0; 1.0; 4.0; 110.0; 3.0
67000000.0; 1.0; 3.0; 104.0; 3.0
67000000.0; 1.0; 3.0; 104.0; 3.0
71715500.0; 1.0; 2.0; 75.49; 2.0
72850000.0; 1.0; 2.0; 62.0; 6.0
75184923.0; 1.0; 5.0; 113.72; 16.0
79000000.0; 1.0; 0.0; 270.0; 15.0
79000000.0; 1.0; 0.0; 270.0; 15.0
79000000.0; 1.0; 2.0; 63.2; 7.0
82000000.0; 1.0; 5.0; 130.0; 4.0
84900000.0; 1.0; 5.0; 132.0; 8.0
86500000.0; 1.0; 5.0; 128.0; 8.0
87900000.0; 1.0; 5.0; 128.0; 7.0
88000000.0; 1.0; 5.0; 130.0; 2.0
88350000.0; 1.0; 2.0; 57.0; 5.0
95000000.0; 1.0; 4.0; 201.0; 14.0
95000000.0; 1.0; 4.0; 201.0; 14.0
95000000.0; 1.0; 5.0; 130.0; 5.0
97580000.0; 1.0; 2.0; 57.4; 7.0
99000000.0; 1.0; 4.0; 129.4; 17.0
99000000.0; 1.0; 4.0; 129.4; 17.0
102000000.0; 1.0; 3.0; 136.9; 8.0
102000000.0; 1.0; 5.0; 137.0; 8.0
102000000.0; 1.0; 4.0; 137.0; 8.0
105000000.0; 1.0; 5.0; 136.0; 8.0
109001377.0; 1.0; 3.0; 154.3; 62.0
117616637.0; 1.0; 5.0; 143.1; 19.0
120000000.0; 1.0; 6.0; 154.0; 58.0
120000000.0; 1.0; 6.0; 154.0; 58.0
129500000.0; 1.0; 0.0; 188.5; 75.0
129500000.0; 1.0; 0.0; 188.5; 75.0
134000000.0; 1.0; 3.0; 180.0; 74.0
150000000.0; 1.0; 5.0; 350.0; 17.0
150000000.0; 1.0; 5.0; 350.0; 17.0
173956500.0; 1.0; 4.0; 232.5; 75.0
176750000.0; 1.0; 3.0; 101.0; 9.0
189000000.0; 1.0; 5.0; 227.4; 18.0
230000000.0; 1.0; 4.0; 296.0; 55.0
240000000.0; 1.0; 4.0; 232.0; 5.0
243000000.0; 1.0; 4.0; 175.3; 40.0
264600000.0; 1.0; 5.0; 270.0; 92.0
271570000.0; 1.0; 6.0; 208.9; 16.0
274912000.0; 1.0; 6.0; 171.82; 8.0
315000000.0; 1.0; 4.0; 233.0; 7.0
362500000.0; 1.0; 10.0; 353.0; 82.0
370000000.0; 1.0; 2.0; 128.7; 5.0
428060600.0; 1.0; 5.0; 273.4; 7.0
431650000.0; 1.0; 4.0; 273.0; 8.0
432924925.0; 1.0; 4.0; 273.4; 7.0
433018375.0; 1.0; 4.0; 273.0; 7.0
433018375.0; 1.0; 4.0; 273.4; 7.0
583845000.0; 1.0; 5.0; 355.0; 6.0
2455020000.0; 1.0; 6.0; 1067.4; 9.0
3500000.0; 2.0; 0.0; 10.0; 1.0
5050000.0; 2.0; 0.0; 14.0; 2.0
5050000.0; 2.0; 0.0; 14.0; 2.0
5050000.0; 2.0; 0.0; 14.0; 2.0
5050000.0; 2.0; 0.0; 14.0; 2.0
5050000.0; 2.0; 0.0; 14.0; 1.0
5050000.0; 2.0; 0.0; 14.0; 2.0
5750000.0; 2.0; 0.0; 16.0; 2.0
6500000.0; 2.0; 0.0; 18.0; 5.0
6650000.0; 2.0; 0.0; 20.0; 2.0
6650000.0; 2.0; 0.0; 21.0; 2.0
6700000.0; 2.0; 0.0; 19.0; 4.0
7000000.0; 2.0; 0.0; 13.0; 3.0
7480000.0; 2.0; 0.0; 22.0; 9.0
7586564.0; 2.0; 6.0; 19.0; 15.0
7900000.0; 2.0; 2.0; 36.9; 3.0
9250000.0; 2.0; 1.0; 35.7; 12.0
10500000.0; 2.0; 2.0; 36.0; 16.0
10900000.0; 2.0; 2.0; 39.0; 4.0
11000000.0; 2.0; 0.0; 29.0; 21.0
11500000.0; 2.0; 1.0; 40.6; 8.0
11900000.0; 2.0; 1.0; 34.8; 8.0
